Date,Open,High,Low,Close,Volume
20130922,1706.500,1706.750,1701.000,1704.500,33979
20130923,1704.750,1707.500,1689.500,1690.250,1666453
20130924,1690.000,1701.000,1687.500,1692.000,1498625
20130925,1692.250,1695.000,1684.500,1688.250,1634553
20130926,1688.000,1697.500,1685.750,1692.500,1462379
20130927,1692.500,1692.750,1680.000,1685.250,1411393
20130929,1675.000,1676.250,1671.250,1674.750,67664
20130930,1675.000,1684.000,1666.750,1678.250,2147856
20131001,1678.250,1692.250,1675.250,1686.750,1730578
20131002,1686.750,1687.500,1673.250,1681.250,1670111
20131003,1681.000,1684.750,1663.250,1669.000,2237740
20131004,1669.000,1686.000,1667.500,1682.000,1469007
20131006,1676.750,1678.250,1673.000,1674.000,46672
20131007,1674.000,1679.500,1662.750,1667.250,1599603
20131008,1667.500,1671.500,1646.000,1656.000,2367464
20131009,1656.000,1658.250,1640.000,1656.750,2464520
20131010,1657.000,1689.000,1654.500,1685.500,2344611
20131011,1685.750,1700.250,1681.750,1700.000,1445589
20131013,1684.000,1688.250,1680.750,1687.000,91077
20131014,1686.750,1709.750,1684.250,1705.750,1446285
20131015,1706.000,1708.250,1689.500,1700.500,1932853
20131016,1700.500,1717.000,1696.750,1711.250,1755783
20131017,1711.250,1733.500,1706.250,1731.250,1651950
20131018,1731.250,1740.250,1728.750,1737.000,1482836
20131020,1738.000,1739.750,1736.250,1738.750,23673
20131021,1738.750,1742.500,1734.750,1737.000,1099719
20131022,1737.250,1754.500,1736.250,1744.000,1858676
20131023,1743.750,1747.250,1734.500,1746.250,1521812
20131024,1746.000,1751.750,1740.000,1745.750,1232117
20131025,1746.000,1755.750,1742.750,1753.750,1221295
20131027,1753.750,1762.250,1752.750,1759.750,44245
20131028,1759.500,1761.000,1751.500,1757.500,1137711
20131029,1757.250,1768.750,1756.250,1767.000,1177000
20131030,1767.000,1773.250,1751.750,1753.500,1803944
20131031,1753.500,1755.750,1751.250,1752.500,34130
20131101,1752.500,1761.250,1747.000,1754.000,1565555
20131103,1754.000,1760.750,1753.250,1758.250,35115
20131104,1758.500,1764.000,1755.750,1763.500,987371
20131105,1763.250,1767.500,1750.500,1763.500,1492808
20131106,1763.250,1770.000,1760.000,1763.250,1294805
20131107,1763.500,1774.500,1742.250,1748.250,2476172
20131108,1748.000,1768.000,1736.500,1766.750,2026108
20131110,1767.000,1767.250,1762.750,1765.500,33548
20131111,1765.500,1770.250,1763.250,1769.500,957812
20131112,1769.250,1769.750,1757.750,1759.000,1393574
20131113,1759.250,1783.750,1754.250,1783.500,1682829
20131114,1783.500,1790.750,1777.250,1789.500,1550213
20131115,1789.500,1796.000,1787.750,1794.250,1192405
20131117,1793.500,1794.750,1790.750,1791.500,33253
20131118,1791.750,1799.750,1784.750,1790.750,1550131
20131119,1791.000,1793.750,1782.000,1784.250,1595614
20131120,1784.000,1794.250,1774.500,1776.750,2062531
20131121,1776.500,1795.500,1775.750,1792.250,1372905
20131122,1792.000,1803.250,1792.000,1801.250,1197582
20131124,1802.000,1809.250,1801.000,1806.250,55063
20131125,1806.250,1808.000,1798.500,1805.250,1072245
20131126,1805.000,1807.000,1798.750,1802.000,1072579
20131127,1802.000,1807.500,1801.250,1806.500,819969
20131128,1806.750,1810.000,1805.250,1807.250,105862
20131129,1807.250,1812.500,1802.750,1804.000,685579
20131201,1806.250,1807.750,1804.500,1804.500,31198
20131202,1804.500,1809.000,1797.000,1800.000,1312968
20131203,1800.000,1801.000,1786.250,1792.000,1695718
20131204,1792.000,1799.500,1777.750,1790.000,2073080
20131205,1790.000,1794.250,1782.000,1788.250,1543759
20131206,1788.250,1806.000,1785.750,1805.750,1682432
20131208,1806.500,1809.250,1806.250,1808.250,29291
20131209,1808.000,1811.500,1804.750,1810.500,997988
20131210,1810.500,1811.500,1801.000,1803.250,1099676
20131211,1803.250,1804.750,1775.500,1778.500,1688577
20131212,1778.750,1784.000,1767.000,1771.750,1371556
20131213,1771.750,1776.750,1765.500,1767.500,976383
20131215,1768.500,1771.500,1754.000,1759.750,53644
20131216,1759.500,1786.250,1759.000,1780.250,1186233
20131217,1780.500,1782.500,1770.250,1776.500,1238889
20131218,1776.500,1806.750,1760.750,1800.750,2287495
20131219,1800.750,1806.250,1795.000,1804.500,1264714
20131220,1804.750,1818.000,1802.500,1817.250,1298311
20131222,1817.000,1821.750,1816.750,1820.250,20095
20131223,1820.250,1824.500,1818.250,1821.750,728452
20131224,1821.750,1829.500,1821.500,1829.250,299019
20131226,1830.000,1837.750,1829.750,1835.500,453709
20131227,1835.250,1840.000,1833.250,1836.750,606467
20131229,1836.000,1836.750,1835.000,1836.000,10173
20131230,1835.750,1838.500,1833.500,1834.750,559402
20131231,1835.000,1846.500,1834.750,1846.250,643270
20140102,1837.750,1840.750,1821.750,1822.500,1242407
20140103,1822.500,1833.000,1820.500,1823.250,936706
20140105,1824.000,1828.000,1823.000,1824.500,35567
20140106,1824.500,1832.500,1817.250,1824.250,1356744
20140107,1824.000,1834.750,1822.000,1832.750,1135976
20140108,1832.500,1834.750,1825.500,1832.750,1335988
20140109,1832.750,1839.000,1824.250,1835.750,1316433
20140110,1835.500,1842.500,1826.250,1838.500,1437064
20140112,1838.500,1838.750,1832.000,1833.250,33448
20140113,1833.500,1838.250,1809.500,1815.000,1709926
20140114,1814.750,1834.250,1812.750,1833.000,1578998
20140115,1833.000,1845.750,1832.000,1842.500,1254305
20140116,1842.750,1843.000,1834.500,1837.750,948316
20140117,1837.750,1842.750,1829.250,1833.750,1138175
20140119,1834.000,1834.750,1830.000,1833.750,21523
20140120,1833.750,1843.000,1830.750,1841.250,98815
20140121,1841.000,1844.000,1826.250,1841.500,1237148
20140122,1841.750,1844.000,1828.750,1832.500,992929
20140123,1832.500,1837.250,1813.750,1823.250,1779209
20140124,1823.250,1825.500,1780.000,1780.250,2505076
20140126,1781.750,1787.500,1776.250,1784.750,90665
20140127,1785.000,1792.000,1767.000,1781.250,2714644
20140128,1781.250,1801.250,1775.500,1797.000,1738231
20140129,1797.000,1799.750,1764.000,1773.750,2720603
20140130,1773.750,1793.750,1770.750,1780.500,1800494
20140131,1780.500,1788.250,1761.250,1777.000,2336865
20140202,1777.500,1783.750,1776.000,1778.750,48557
20140203,1779.000,1782.250,1732.250,1738.500,3039650
20140204,1738.500,1753.500,1734.000,1739.750,2309757
20140205,1739.750,1750.750,1732.000,1746.750,2051913
20140206,1746.750,1769.750,1744.250,1768.750,1712426
20140207,1769.000,1794.000,1758.250,1793.500,2310029
20140209,1793.000,1794.500,1791.000,1792.750,35338
20140210,1792.750,1801.000,1786.250,1799.750,1133098
20140211,1799.500,1819.500,1795.000,1817.750,1772702
20140212,1817.500,1823.250,1807.250,1807.250,1367213
20140213,1807.250,1827.500,1802.250,1817.750,1660797
20140214,1818.000,1838.750,1817.250,1834.000,1294590
20140216,1833.500,1837.000,1831.750,1833.750,25699
20140217,1833.750,1840.250,1833.000,1838.250,122809
20140218,1838.500,1840.000,1831.500,1834.750,1088918
20140219,1834.750,1844.500,1817.250,1819.250,1812638
20140220,1819.000,1843.250,1817.500,1842.250,1558182
20140221,1842.000,1844.000,1832.750,1833.500,1269890
20140223,1835.250,1838.750,1829.250,1833.250,46454
20140224,1833.250,1856.750,1832.500,1844.250,1583890
20140225,1844.250,1852.500,1837.250,1851.250,1578641
20140226,1851.000,1853.250,1838.000,1846.000,1451752
20140227,1846.250,1855.750,1832.750,1852.000,1605153
20140228,1852.000,1866.500,1845.250,1860.750,2060123
20140302,1846.000,1847.000,1836.500,1843.500,136366
20140303,1843.750,1849.500,1832.250,1848.250,2263968
20140304,1848.000,1874.750,1847.750,1870.000,1730420
20140305,1870.250,1876.250,1867.750,1874.250,1237351
20140306,1874.500,1881.000,1873.250,1879.500,1236359
20140307,1879.750,1887.500,1869.250,1876.750,1707275
20140309,1875.500,1876.500,1871.500,1872.250,38075
20140310,1872.250,1879.000,1865.750,1875.500,1110766
20140311,1875.500,1882.250,1861.250,1864.250,1520865
20140312,1864.750,1874.750,1853.750,1873.500,1498661
20140313,1873.250,1875.000,1839.000,1841.500,1848431
20140314,1841.500,1846.250,1832.000,1832.500,1571475
20140316,1832.250,1834.250,1823.500,1831.750,59779
20140317,1831.750,1855.750,1830.500,1852.750,1315482
20140318,1853.000,1867.000,1845.500,1864.250,1385431
20140319,1864.250,1867.500,1842.000,1849.250,1611762
20140320,1849.250,1866.500,1844.750,1866.500,1428157
20140321,1866.250,1876.750,1855.500,1857.250,1709435
20140323,1855.500,1861.500,1855.000,1857.000,45283
20140324,1857.000,1866.000,1841.250,1852.500,1813508